,density,size,Run,Big,Burned,Fine,On Fire,Small,width,height
0,0.25,0.2,0,516,51,2419,2,1956,100,100
1,0.25,0.2,1,520,65,2405,4,1954,100,100
2,0.25,0.2,2,498,62,2416,1,1981,100,100
3,0.25,0.2,3,474,69,2326,0,1921,100,100
4,0.25,0.2,4,506,66,2447,3,2010,100,100
5,0.25,0.2,5,483,68,2506,2,2093,100,100
6,0.25,0.2,6,543,78,2399,3,1937,100,100
7,0.25,0.2,7,501,60,2433,0,1992,100,100
8,0.25,0.2,8,512,74,2438,2,2002,100,100
9,0.25,0.2,9,497,49,2466,1,2019,100,100
10,0.25,0.3,10,747,55,2425,2,1735,100,100
11,0.25,0.3,11,702,51,2340,1,1690,100,100
12,0.25,0.3,12,737,82,2466,2,1813,100,100
13,0.25,0.3,13,711,66,2480,2,1837,100,100
14,0.25,0.3,14,744,45,2400,1,1702,100,100
15,0.25,0.3,15,760,48,2447,2,1737,100,100
16,0.25,0.3,16,792,38,2524,3,1773,100,100
17,0.25,0.3,17,720,41,2415,2,1738,100,100
18,0.25,0.3,18,759,86,2483,3,1813,100,100
19,0.25,0.3,19,731,67,2365,4,1705,100,100
20,0.25,0.4,20,1035,42,2491,2,1500,100,100
21,0.25,0.4,21,992,47,2476,2,1533,100,100
22,0.25,0.4,22,1004,43,2452,8,1499,100,100
23,0.25,0.4,23,940,48,2370,3,1481,100,100
24,0.25,0.4,24,951,67,2429,4,1549,100,100
25,0.25,0.4,25,1001,46,2408,4,1457,100,100
26,0.25,0.4,26,977,97,2394,6,1520,100,100
27,0.25,0.4,27,1030,50,2489,4,1513,100,100
28,0.25,0.4,28,958,52,2393,4,1491,100,100
29,0.25,0.4,29,962,36,2419,4,1497,100,100
30,0.5,0.2,30,997,4373,612,3,3991,100,100
31,0.5,0.2,31,1000,3641,1291,4,3936,100,100
32,0.5,0.2,32,922,4303,691,7,4079,100,100
33,0.5,0.2,33,1013,4260,703,2,3952,100,100
34,0.5,0.2,34,1018,4516,505,5,4008,100,100
35,0.5,0.2,35,1044,4375,634,1,3966,100,100
36,0.5,0.2,36,975,4516,529,2,4072,100,100
37,0.5,0.2,37,985,4529,499,2,4045,100,100
38,0.5,0.2,38,1034,4380,593,6,3945,100,100
39,0.5,0.2,39,1040,4532,546,5,4043,100,100
40,0.5,0.3,40,1523,4063,937,4,3481,100,100
41,0.5,0.3,41,1536,3998,1048,3,3513,100,100
42,0.5,0.3,42,1500,4351,708,6,3565,100,100
43,0.5,0.3,43,1444,3964,1018,4,3542,100,100
44,0.5,0.3,44,1441,4035,897,6,3497,100,100
45,0.5,0.3,45,1493,4236,844,9,3596,100,100
46,0.5,0.3,46,1454,4177,785,7,3515,100,100
47,0.5,0.3,47,1526,4286,805,6,3571,100,100
48,0.5,0.3,48,1460,3869,1014,5,3428,100,100
49,0.5,0.3,49,1430,3766,1125,5,3466,100,100
50,0.5,0.4,50,1989,2384,2652,8,3055,100,100
51,0.5,0.4,51,1954,2972,2024,6,3048,100,100
52,0.5,0.4,52,1985,3682,1297,5,2999,100,100
53,0.5,0.4,53,2018,2836,2101,6,2925,100,100
54,0.5,0.4,54,1930,3919,1100,6,3095,100,100
55,0.5,0.4,55,1987,2984,1980,6,2983,100,100
56,0.5,0.4,56,1923,3555,1391,11,3034,100,100
57,0.5,0.4,57,2005,3478,1541,8,3022,100,100
58,0.5,0.4,58,1988,3749,1251,9,3021,100,100
59,0.5,0.4,59,2004,3032,1936,21,2985,100,100
60,0.75,0.2,60,1544,7027,479,4,5966,100,100
61,0.75,0.2,61,1503,7049,483,2,6031,100,100
62,0.75,0.2,62,1490,6982,534,4,6030,100,100
63,0.75,0.2,63,1479,7001,492,3,6017,100,100
64,0.75,0.2,64,1474,6881,541,3,5951,100,100
65,0.75,0.2,65,1556,6994,531,6,5975,100,100
66,0.75,0.2,66,1534,6964,534,5,5969,100,100
67,0.75,0.2,67,1469,7019,495,5,6050,100,100
68,0.75,0.2,68,1492,7001,536,9,6054,100,100
69,0.75,0.2,69,1498,7035,492,5,6034,100,100
70,0.75,0.3,70,2220,6752,765,8,5305,100,100
71,0.75,0.3,71,2206,6596,788,4,5182,100,100
72,0.75,0.3,72,2264,6714,787,5,5242,100,100
73,0.75,0.3,73,2223,6744,799,4,5324,100,100
74,0.75,0.3,74,2291,6631,826,10,5176,100,100
75,0.75,0.3,75,2243,6685,818,3,5263,100,100
76,0.75,0.3,76,2300,6673,775,10,5158,100,100
77,0.75,0.3,77,2291,6624,832,11,5176,100,100
78,0.75,0.3,78,2219,6727,769,1,5278,100,100
79,0.75,0.3,79,2309,6669,784,10,5154,100,100
80,0.75,0.4,80,3021,6420,1054,9,4462,100,100
81,0.75,0.4,81,3012,6450,1061,12,4511,100,100
82,0.75,0.4,82,3013,6391,1043,10,4431,100,100
83,0.75,0.4,83,2972,6375,1066,12,4481,100,100
84,0.75,0.4,84,2959,6571,1007,10,4629,100,100
85,0.75,0.4,85,3032,6506,998,10,4482,100,100
86,0.75,0.4,86,2970,6403,1107,9,4549,100,100
87,0.75,0.4,87,2969,6505,1044,7,4587,100,100
88,0.75,0.4,88,2943,6534,1017,10,4618,100,100
89,0.75,0.4,89,3021,6378,1063,12,4432,100,100
